daño,Predicción
vivienda presente caida de techo y revienta acometida,cancelar
seva y vuelve la energia en el cual primero se quemo la nevera y ahora tambien quemo el televisor y la olla arrocera y los bajones de energia son como cada 5 minutos nos visitaron los de celcia no hicieron nada por que ellos no eran caja sino de transformadores,ejecutar
sin la pila el seguia girando,cancelar
empty,ejecutar
camion revento linea de media tension,cancelar
sin servicio,cancelar
sin iluminacion,ejecutar
el poste al frente de la casa calle 27 b ,ejecutar
luz alumbrado publico no prende,cancelar
cuerdas danadas las cuales botan chispa y corto ya se han danado equipos por esta razon,ejecutar
3,"Entrada inválida. Por favor, ingrese un texto coherente."
sin servicio en el sector,ejecutar
se fue el servicio de energia en el sector,ejecutar
es en la cuadra no tiene energia las lamparas,ejecutar
falla de internet,cancelar
contador danado,ejecutar
lampara de poste que no prende,cancelar
no tengo servicio,ejecutar
variacion de voltaje,cancelar
variacion demasiado alta en el numero de kwh de consumo,cancelar
no conexion del cable del poste hacia la casa,ejecutar
caidas constantes de voltaje,cancelar
la bombilla no alumbra,cancelar
sin energia,cancelar
es q pague el recibo del mes pasado y ahora q me llego este mes me llego doble,ejecutar
tiene fuga de energia en el contador la cual esta presentando un consumo alto de energia,ejecutar
la energia se va y vuelve,ejecutar
el poste de la luz la farola esta rota estamos sin alumbrado,cancelar
variacion de voltaje,cancelar
el consumo llega mas de lo usado,cancelar
internet intermitente,cancelar
un motor se prende y se apaga con frecuencia se puede quemar,ejecutar
la acometida se safo de poste no llega el voltaje completo me toco conectar del 2 piso con una extencion por que estoy sin energia,cancelar
no hay luz,cancelar
reclamo por el alto cobro en la factura,ejecutar
se fue la luz,ejecutar
falla en el contador,ejecutar
se robaron la acometida y no tengo energia,cancelar
manipulacion de un cable y quedaron varias casa sin energia,ejecutar
puede causar accidente,cancelar
tuve suspension  de servicio por no pago,cancelar
no esta marcando el lector,cancelar
seva y viene la luz y  donde se prende y apaga el contador chirrea suena,ejecutar
sin energia,cancelar
no hay luces en las noches,ejecutar
sector sin servicio se quemaron las cuerdas que van a la casa,ejecutar
cables reventados y la acometida sector a,cancelar
el poste al frente de la casa calle 27 b ,ejecutar
un  ventarron revento la cometida,cancelar
hay 3 casas con fluctuaciones de voltaje incluido el taller de soldadura en el barrio independencia segunda etapa pasaje 12 de julio,ejecutar
ratas robaron cable y estoy sin energia,ejecutar
variacion de voltaje y ausencia de energia en algunas cosas hay personas enfermas con necesidad de equipos electricos,cancelar
varios postes sin luz y muchos drogadictos aprovechan la oscuridad para fumar bajo los arboles,cancelar
no tengo energia en toda la casa y observamos q desde el poste se desprendio un cable  y esw esta haciendo contacto con el cable fase,ejecutar
el domingo se callo una palma y arranco las acometidas,cancelar
estan alumbrando todos los bombillitos que tiene el contador 1 de color verde y los otros rojo,cancelar
se cae el voltaje,ejecutar
linea que va al poste reventado,ejecutar
no hay servicio,ejecutar
se fue totalmente laenergia,ejecutar
no me encienden los bombillos,ejecutar
hay 2 bombillos del alumbrado publico que se apagan y prenden todo el tiempo,cancelar
cayo un rayo y la linea  esta en el piso,ejecutar
sin servicio,cancelar
al suspender el flujo de energia ,ejecutar
linea danada,ejecutar
cayo un arbol sobre las cuerdas de energia y corto el suministro de aquella para varias casas del sector,ejecutar
se quemo el cable q sale de las cuerdas principales al contador,cancelar
no hay luz,cancelar
un tercero se esta conectando a mi red,ejecutar
cobros excesivos de energia,ejecutar
llega la luz pero no permite conectar ningun electrodomestico no tiene estabilidad la energia y  sale candela de la torre,ejecutar
un camion se llevo la cuerda y esta descolgada en la via,ejecutar
mala senal de internet,cancelar
la luz esta deficiente y los bombillos titilan,cancelar
me llego la factura doble,ejecutar
se revento el cable de la acometida,cancelar
corte energia velas caidas,ejecutar
sector sin energia,cancelar
no esta marcando el lector,cancelar
sin razon aparente el contador de mi casa exploto,ejecutar
problema en el contador,ejecutar
un tercero se esta conectando a mi red,ejecutar
me desconectaron el servicio de forma errada por mochar el servicio de enseguida,ejecutar
variacion de voltaje y cambio de acometida ya que estan trabajando en el sector,cancelar
ese es,ejecutar
nos levantamos y no hay energia en la casa,ejecutar
hay que hacer revision de la red porque ha quemado el contador,ejecutar
en toda la carrera 14 se fue la energia,ejecutar
hubo un bajon y ahora ya no hay energia en varios predios,ejecutar
sube y baja la energia,cancelar
los cables estan flojos y al,ejecutar
anche intento de robo linea descolgada,ejecutar
cuando enciendo los electrodomesticos se apagan las luces y baja el voltaje en la casa y ya han vendio 2 veces y nada que me solucionan el problema,ejecutar
medidor de energia no esta funcionando,cancelar
desde el sabado hay alteracion en el voltaje no es constantes,ejecutar
sinergia,cancelar
es que deseo saber sobre el cobro de alumbrado publico,cancelar
se esta registrando exceso de consumo de energia por lo que solicito la revision,cancelar
no tengo luz en mi casa,ejecutar
corto   en  una   lampara publica causa dano en la energia de una vivienda,cancelar
aumento de voltaje,ejecutar
el suministro de 220 voltios esta muy bajo ya que hace que  los aires acondicionados se apaguen,ejecutar
nos levantamos y no hay energia en la casa,ejecutar
ningun poste del parque y del frente de la casa tienen energia esta muy oscuro,cancelar
cable reventado,cancelar
robo de energia,ejecutar
cables de la calle caidos,ejecutar
no me prende nada,ejecutar
variacion,cancelar
sin la pila el seguia girando,cancelar
variacion de voltaje que no alimenta completamente los electrodomesticos,cancelar
necesito una revision,ejecutar
variacion de voltaje que no alimenta completamente los electrodomesticos,cancelar
un cable que se desprende y esta en toda la entrada de nuestra casa tiene energia,cancelar
ninguna es cambio de carga,cancelar
se fue la energia en todo el sector  yo trabajo con energia y llego en todos lados menos en el local,ejecutar
poste inclinado a punto de caer,ejecutar
se reventaron mas de 8 lineas de internet,cancelar
sin servicio de energia,cancelar
cuerdas de altas tension reventadas peligroso para la vida humana y animal,cancelar
desde hace dias el alumbrado publico no funciona,cancelar
empty,ejecutar
los bombillos varian de voltaje y se queman facilmente sobre todo en 2 puntos de la casa,ejecutar
internet intermitente,cancelar
dano contador en mi predio,ejecutar
es la segunda vez que nos pasa que la energia se pone intermitente hasta que luego se va definitivamente,cancelar
a mano izquierda se cayo un arbol sobre el cableado,ejecutar
no hay servicio de luz,ejecutar
llevo una hora en mi hogar sin energia y aca tengo un local,ejecutar
sobre voltaje voltaje de entrada 140 voltios,cancelar
cable reventado y colgando sobre la casa,ejecutar
no tengo energia en toda la casa y observamos q desde el poste se desprendio un cable  y esw esta haciendo contacto con el cable fase,ejecutar
yo baje mis tacos,cancelar
el consumo llega mas de lo usado,cancelar
sin energia,cancelar
hace una semana paso ,cancelar
variacion de voltaje,cancelar
la luz sube baja y seca,cancelar
estamos sin energia desde el dia de ayer,ejecutar
cuerdas en el piso energizadas alto riesgo,ejecutar
hay un corto,ejecutar
le energia esta muy poca no alcanzan a prender los equipos de tecnologia y los bombillos alumbran poco,cancelar
las cuerdas del poste a la casa estan votando chispas de energia,ejecutar
hubo un fuerte viento y la luz se fue en mi casa y los otros vecinos si tienen luz,ejecutar
aumento de precio en el recibo,ejecutar
la factura que me llega presenta un concepto que no entiendo la razon del mismo,cancelar
sector sin energia,cancelar
titila la linea,ejecutar
muestra muchas variaciones,ejecutar
robo de cable principal de poste a la casa,ejecutar
la lampara no prende,cancelar
0,"Entrada inválida. Por favor, ingrese un texto coherente."
el poste al frente de la casa calle 27 b ,ejecutar
no hay servicio de energia,ejecutar
luminarias sin alimentacion de energia 220,ejecutar
un carro lo tumbo y es un cable de alta tension,ejecutar
sin luz publica,cancelar
la luz de los aparatos no da verde que indica que no hay buen voltaje,ejecutar
no tengo luz,cancelar
esta llegando alterado el recibo,ejecutar
hizo corto y me quede sin energia,ejecutar
hola buenas tardes,ejecutar
la tapa de la caja del lector de electricidad fue violada y desaparecio,ejecutar
lamparas apagadas,ejecutar
esta pasando energia a una pared,ejecutar
se prende la licuadora y el voltaje empieza a bajarse,ejecutar
dano de contador en una vivienda,ejecutar
linea en corto,ejecutar
toco desconectar los electrodomesticos,ejecutar
linea reventada por arbol caido,ejecutar
el medidor con el cod,cancelar
alteracion del consumo,ejecutar
uno de mis apartamentos esta desocupado desde octubre del ano pasado y me llega una factura de 160,ejecutar
hay tomas con energia y otros sin energia,ejecutar
suena duro un corto en la red alrededor de mi casa,ejecutar
la cuerda del contador reventada,ejecutar
contador fuera de servicio,cancelar
llevo 3 dias sin energia es solo mi apartamento,ejecutar
contador malo,ejecutar
biblioteca alejandro arce carrera 5 alteracion voltaje se genera chispa,cancelar
contador malo,ejecutar
pues que se va a reventar el cable de energia y nos va a dejar el dano,ejecutar
sin energia,cancelar
el servicio de energia se fia de un solo apagon hace 1 hora el cual ami me perjudica ya que tengo venta de heladeria,ejecutar
variacion de voltaje,cancelar
hay corto en las canuelas,ejecutar
falla en el contador,ejecutar
caida de voltaje,ejecutar
no hay energia,ejecutar
sin energia,cancelar
sector sin energia,cancelar
arranco el cable nos dejo sin energia,ejecutar
el servicio de energia se fia de un solo apagon hace 1 hora el cual ami me perjudica ya que tengo venta de heladeria,ejecutar
modificacion del cableado del vecino por que esta obstruyendo la construccion del segundo piso de mi predio,ejecutar
no tengo luz,cancelar
voltaje insuficiente,cancelar
revision de cableado,ejecutar
acometida posiblemente desajustada,cancelar
variacion el voltaje,ejecutar
cable reventado y colgando sobre la casa,ejecutar
chiapas en la lampara,ejecutar
sin energia,cancelar
no hay alumbrado publico hace un par de semanas,cancelar
oscuridad total,cancelar
sector sin servicio,cancelar
sin servicio de energia desde hace una hora,ejecutar
los cables estan flojos y al,ejecutar
me quitaron la energia,ejecutar
un carro que desconectar el cable de la energia del poste,cancelar
sin energia,cancelar
me estan cobrando muy caro los servicios,ejecutar
no hay energia,ejecutar
el medidor cambia  muy rapido los valores y aparecen unas letras,cancelar
no hay luz,cancelar
variacion demasiado alta en el numero de kwh de consumo,cancelar
camion revento contador y cuchilla y dejo casa sin energia,ejecutar
por favor sin energia en el sector por favor ayuda,ejecutar
sector sin energia desde esta manana,cancelar
poste  colapso,ejecutar
va y viene la energia,cancelar
dano total medidor  y linea reventada,cancelar
el cable que va en la conexion del poste esta flojo y chispea y se nos va luz a ratos,ejecutar
atencion urgente en medidor,cancelar
no hay energia,ejecutar
cuerdas  caidas,cancelar
los bombillos estan titilando intermitente,ejecutar
cuando conectan soldadores se va la energia y no acepta el voltaje,ejecutar
linea de cable reventada,cancelar
sin energia,cancelar
consumo de excesivamente ilogico,cancelar
sin luz,cancelar
me estan cobrando muy caro los servicios,ejecutar
intermitencia de energia va y vuelve,cancelar
linea que va al poste reventado,ejecutar
me llego mi recibo del mes de mayo en ceros quiero saber el porque,ejecutar
se elevo la energia y hay vi e una muchacha sola y casi no mantiene y le llego un mes por 105,ejecutar
sector sin energia,cancelar
camion revento contador y cuchilla y dejo casa sin energia,ejecutar
acometida reventada,cancelar
alto consumo de los dos ultimos meses,cancelar
paso un carro y arranco el cable de energia y el contador,ejecutar
bombilla de alumbrado publico fallando,cancelar
predio sin servicio,cancelar
tengo bajones de energia los cuales se presentan cada 40 minutos,cancelar
se va constantemente  la energia solo en mi casa,ejecutar
ayer la cuadrilla reviso el contador y escalo el caso al grupo a porque el contador se encuentra energizado y altero el polo a tierra,ejecutar
sector sin energia desde esta manana,cancelar
acometida floja cuando pasan la mueven y me quedo sin energia,cancelar
es el poste de mitad de cuadra,ejecutar
se nos reporta arbol de especie araucaria ubicado en la calle 11 ,ejecutar
no encienden las luces y no hay corriente el los enchufes,ejecutar
estoy sin proteccion de polo a tierra,ejecutar
sin energia,cancelar
va y viene la energia,cancelar
variacion de voltaje,cancelar
las luces de los postes de las calles y 14,ejecutar
sin servicio de energia,cancelar
sector sin energia,cancelar
ya le dije,cancelar
poste sin luz hace mas de 10 dias,ejecutar
empty,ejecutar
caidas constantes de voltaje,cancelar
los costos son muy caros,ejecutar
cable suelto con corriente,ejecutar
es el poste de mitad de cuadra,ejecutar
tengo bajones de energia los cuales se presentan cada 40 minutos,cancelar
esta un cobro excesivo de luz,ejecutar
no hay internet,cancelar
contador de la casa no esta leyendo esta parado,ejecutar
sin energia por cuerda reventada,ejecutar
muy bajo el voltaje 206 vol,ejecutar
cable descolgado que atraviesa mi predio,ejecutar
la cuerda del contador reventada,ejecutar
internet lento,cancelar
sector sin servicio,cancelar
lamparas de postes malas,cancelar
detras del parque,cancelar
no tenemos senal de internet,cancelar
lo que pasa es que no me esta entrando la energia a 220 esta a 110 voltios,ejecutar
neutro flojo por sector a,ejecutar
exploto el contador de mi casa y ya lo he reportado varias veces y nada q vienen por favor,ejecutar
genera chispas,ejecutar
un vehiculo paso por la calle y revento el cable y solo mi casa esta sin energia y tengo una adulta mayor postrada en camanecesito la energia urgente todo el dia he estado sin energia y nada que vienen a arreglarme el dnao,cancelar
es una lampara q lleva ya unos 3 meses y nadie quiere arreglar pero si cobrar el servicio,ejecutar
variacion de voltaje,cancelar
sin energia en el predio un tracto camion paso y dana los cables revento los cable,cancelar
toda la casa quedo sin energia,ejecutar
poste de energia,ejecutar
cable danado acometida,cancelar
sin servicio,cancelar
poste sin alumbrado,cancelar
un camion paso y rompio la cuerda de la energia la dejo colgada sobre la calle,ejecutar
hace una semana paso ,cancelar
el cable esta descolgado y los carros que pasan lo pueden reventar,ejecutar
sin energia,cancelar
el consumo de energia cada mes sube y sube,ejecutar
no tengo energia,cancelar
el cableado de poste a poste esta muy caido y requerimos que sea arreglado,cancelar
no tengo energia,cancelar
el predio presenta baja una linea y por ende no es posible arrancar la maquina para compactar,ejecutar
un camion paso y se llevo el contador dejandome sin energia,ejecutar
cable de entrada no existe,cancelar
cable del internet suelto en la calle,cancelar
vereda berlin,cancelar
sector sin servicio,cancelar
se cayo un arbol,cancelar
sin servicio de energia cable reventado alimentador del contador,ejecutar
no hay luz,cancelar
los bombillos estan titilando intermitente,ejecutar
no hay luz,cancelar
no hay internet,cancelar
sobrevoltaje de mi casa 140 voltios,ejecutar
variacion de voltaje  ya verifica por cuadrilla de ams dano en transformador,cancelar
no registra el consumo de luz,cancelar
de rompio el cable gris  q conecta al modem,ejecutar
no tengo energia en la casa,cancelar
bajo voltaje,cancelar
casa sin energia,cancelar
cable desconectado del poste,cancelar
casi 240624,ejecutar
no hay servicio de energia,ejecutar
caida del cable del punto del contador,cancelar
desde la manana habemos 7 locales comerciales sin servicio y nosotros manejamos biologicos vacunas y necesitamos nevera,cancelar
sin servicio de energia,cancelar
carro revienta cuerda y el transformador esta haciendo corto y el predio esta sin energia,ejecutar
informacion mal en el recibo,ejecutar
vivienda presente caida de techo y revienta acometida,cancelar
no hay energia,ejecutar
variacion de voltaje,cancelar
no hay energia,ejecutar
cable de energia que viene del poste y rosa con el techo de la casa,ejecutar
la energia no es estable,ejecutar
no tengo servicio de energia en mi predio,ejecutar
en la casa aumenta y merma la energia,ejecutar
una varilla q sale con un cable del contador se cayo,ejecutar
poste de afuera de mi casa esta sin luz,ejecutar
la semana pasada estuvo personal de celsia realizando trabajos donde quitaron la energia y nos dejaron sin alumbrado publico,cancelar
no hay luz,cancelar
dano taco casa,ejecutar
empty,ejecutar
solicito hablar con un asesor,ejecutar
el contador no se ve nada el consumo,ejecutar
sector sin energia hace 4 dias,cancelar
se callo una palma y revento el cable de ambos lados,ejecutar
manipulacion de un cable y quedaron varias casa sin energia,ejecutar
no esta marcando el lector,cancelar
a pesar de que el poste de energia no enciende y al interior de la casa no hubo nadie llego un consumo por casi un millon de pesos lo cual es imposible porque no hubo nadie en casa,cancelar
internet lento,cancelar
bombilla del poste esta apagada,ejecutar
seva y vuelve la energia en el cual primero se quemo la nevera y ahora tambien quemo el televisor y la olla arrocera y los bajones de energia son como cada 5 minutos,ejecutar
exceso de consumo injustificado,cancelar
empty,ejecutar
variacion de voltaje que no alimenta completamente los electrodomesticos,cancelar
hay dos lamparas que no prenden,cancelar
sin internet,cancelar
sin energia,cancelar
aumento en la factura,cancelar
estamos sin el servicio energia vela ,cancelar
bajo voltaje,cancelar
aumento de cobro,ejecutar
no tengo luz en la casa,ejecutar
seva y vuelve la energia en el cual primero se quemo la nevera y ahora tambien quemo el televisor y la olla arrocera y los bajones de energia son como cada 5 minutos nos visitaron los de celcia no hicieron nada por que ellos no eran caja sino de transformadores,ejecutar
no es un corto porque los breaks no se han disparado yo creo que es un cable que esta medio mochado,ejecutar
sin energia sin corriente,cancelar
se baja y sube la luz y en momentos quedamos sin energia,ejecutar
cuerda en dano le llaman la cometida,ejecutar
no le llega energia para la nevera ni lavadora,cancelar
una buseta revento el cable de la luz,cancelar
bombilla de alumbrado publico fallando,cancelar
no hay energia,ejecutar
no hay energia,ejecutar
bajones de energia,ejecutar
poste sin luz,cancelar
solicito hablar con un asesor,ejecutar
anche intento de robo linea descolgada,ejecutar
intermitencia en los bombillos y a veces se va la energia,ejecutar
bajas de luz,ejecutar
dano del contador ,ejecutar
sin energia hace 3 dias en el sector 6 del parque y aledanos,ejecutar
no hay fluido electrico en el inmueble a razon del cable reventado,ejecutar
dano en el contador,ejecutar
sin luz,cancelar
dano acometida,cancelar
las bombillas y un estabilizador que tengo presenta fallas constantes,ejecutar
quedamos sin luz apenas cambiaron el poste,ejecutar
no esta marcando el consumo en el contador,ejecutar
variacion de voltaje sin energia dano de electrodomesticos,ejecutar
empty,ejecutar
caida de voltaje,ejecutar
no hay conexion a internet,cancelar
variacion de voltaje solo en la finca santa lucia y se me estan danando los electrodomesticos,ejecutar
variacion de voltaje,cancelar
las luces del contador estan parpadeando irregularmente,ejecutar
es una lampara de alumbrado publico q esta danada,cancelar
paso algo alto se llevo mi cable al parecer,cancelar
totalmente sin internet,cancelar
detras del parque,cancelar
tengo facturacion excesiva y ya viven menos personas en casa,cancelar
paso un tren canero y revento las cuerdas cuando danos en los contadores,ejecutar
hay que hacer revision de la red porque ha quemado el contador,ejecutar
fluctuaciones de voltaje,ejecutar
la luz que corresponde al poste en el parque es un dano en alumbrado publico,cancelar
cable de entrada se quemo por un dano de un vecino que se le quemo los cables afectando el mio,cancelar
falla en el contador,ejecutar
no es suficiente la energia para el funcionamiento toda,ejecutar
sector sin energia,cancelar
fluctuacion de voltaje en el sector quedando por minutos sin fluido electrico,ejecutar
consumo altisimo,ejecutar
sin luz publica,cancelar
intermitencia se va y vuelve la energia dentro de la casa,cancelar
vereda sin energia desde hace 15 dias,cancelar
desconexion total de energia,cancelar
vandalizaron cables del medidor,cancelar
no hay internet,cancelar
no hay servicio de energia,ejecutar
dano a sector a revision de contador q no genera factura,ejecutar
hay fuego en el poste,ejecutar
linea reventada del poste,ejecutar
desde ayer estamos sin energia 4 casas,ejecutar
un tercero se esta conectando a mi red,ejecutar
corto por arboles,ejecutar
linea reventada,ejecutar
la energia prende y apaga se nos van a quemar los electrodomesticos,ejecutar
que no podemos conectar nada porque todo se apaga,ejecutar
hablar con un asesor,ejecutar
el cable de la acometida de la vivienda esta haciendo corto y puede generar un incendio ya que todas las casas son de madera,cancelar
lampara fundida,cancelar
robo de cable salida contador,ejecutar
intermitente,cancelar
no hay energia,ejecutar
corto   en  una   lampara publica causa dano en la energia de una vivienda,cancelar
sector sin electricidad,ejecutar
altibajos energia,ejecutar
paso un carro y revento un cuerda,cancelar
la energia va y regresa cada 5 minutos,ejecutar
me desconectaron el servicio de forma errada por mochar el servicio de enseguida,ejecutar
variacion de voltaje,cancelar
poste sin energia,ejecutar
sin internet,cancelar
estamos sin energia,ejecutar
voltaje muy alto de liz,cancelar
baja energia en la vivienda la energia es intermitente,cancelar
incendio en transformador,ejecutar
el contador no sirve estamos sin luz hace 5 dias,cancelar
voltaje marcando por debajo de lo normal,ejecutar
dentro del conjunto residencial alto verde n9 hay servicio luz en las zonas comunales,ejecutar
inestabilidad,cancelar
toda la casa quedo sin energia,ejecutar
ha variacion en el voltaje,ejecutar
hace dos dias se va y vuelve la energia,cancelar
ayer la cuadrilla reviso el contador y escalo el caso al grupo a porque el contador se encuentra energizado y altero el polo a tierra,ejecutar
crea perdida de voltaje en mi casa puede provocar danos a mis electrodomesticos,ejecutar
la luz de los aparatos no da verde que indica que no hay buen voltaje,ejecutar
falla de energia en antena de telecomunicaciones,cancelar
sinergia,cancelar
callo un rayo y quemo el medidor,cancelar
oscuridad total,cancelar
cuando enciendo los electrodomesticos se apagan las luces y baja el voltaje en la casa y ya han vendio 2 veces y nada que me solucionan el problema,ejecutar
no tengo energia por dano en el cable exterior,ejecutar
no hay energia,ejecutar
no hay servicio desde hace 3 dias,cancelar
no registra el consumo de luz,cancelar
no tiene suficiente voltaje para conectar un electrodomestico,ejecutar
lampara de iluminacion  de alumbrado publico   con mal funcionamiento,cancelar
consumos  muy altos,cancelar
hizo corto y se revento,ejecutar
sin internet,cancelar
hay una variacion de voltaje el dia de ayer vino un funcionario quien verifico y el voltaje estaba en 122 y al dia de hoy esta en 139140 variable,ejecutar
mi predio,cancelar
1 huella a mano derecha subiendo,ejecutar
paso un carro y arranco el cable de energia y el contador,ejecutar
en la escuela,ejecutar
tormenta dano transformador,cancelar
sin energia en el predio un tracto camion paso y dana los cables revento los cable,cancelar
los electrodomesticos no funcionan,ejecutar
variacion de voltaje,cancelar
medidor quemado,cancelar
cuerda reventada,ejecutar
la energia en muy poca ya no sostiene las bombillas ni electrodomesticos,ejecutar
quedamos sin luz apenas cambiaron el poste,ejecutar
cayo un arbol de guayaba,ejecutar
cable reventado por un camion,ejecutar
esta un cobro excesivo de luz,ejecutar
no tengo energia solo piso 2,cancelar
variacion de voltaje,cancelar
ese transformador pego un estallido,ejecutar
sin luz en el poste de la mitad de la cuadracalle muy oscura,ejecutar
el poste que se encuentra fuera de mi casa cuenta con una lampara que ha dejado de funcionar hace 5 dias y se encuentra en una curva,ejecutar
desde hace dias no enciende la lampara del poste,cancelar
titila la linea,ejecutar
me quedo sin energia,ejecutar
la energia es insuficiente,cancelar
dano del transformador,cancelar
no ahi energia,ejecutar
un  ventarron revento la cometida,cancelar
no tengo energia despues de estrello,cancelar
el poste de la luz la farola esta rota estamos sin alumbrado,cancelar
sin energia,cancelar
un camion dano la linea de internet,cancelar
el predio presenta baja una linea y por ende no es posible arrancar la maquina para compactar,ejecutar
corte del servicio,cancelar
dano en el contador,ejecutar
marca en ceros,cancelar
al salir vi que estuvieron manipulando el contador,ejecutar
falla del contador,ejecutar
no hay luz,cancelar
falla del contador,ejecutar
no tenemos servicio de luz,ejecutar
la bombilla no alumbra,cancelar
energia con variacion en todo el sector,ejecutar
dano total medidor  y linea reventada,cancelar
no tengo energia en la casa,cancelar
no hay luz,cancelar
poste sin luz,cancelar
necesito saber a que horas vienen a revisar el contador,ejecutar
sin conexion a internet,cancelar
no tengo energia mientras los demas si,ejecutar
poste sin alumbrado,cancelar
se esta incendiando el transformador,ejecutar
revisar el contador de energia para saber si esta danado,cancelar
tres viviendas se encuentran sin servicio por un corto en un poste,ejecutar
farolas estan sin energia 3 postes danados,ejecutar
no hay internet,cancelar
falla en face de los predios del conjunto,ejecutar
una tractomula revento el cable y el contador quedo caido,cancelar
no tenemos energia electrica en el sector,ejecutar
el voltaje se cae,ejecutar
se cayo un arbol y revento la acometida electrica de la casa,cancelar
dano a sector a revision de contador q no genera factura,ejecutar
2 recibos an llegado en ceros eso quiere decir que el contador esta danado,cancelar
arrancaron los cables y quedaron colgando,cancelar
bombilla de alumbrado publico fallando,cancelar
se subio mucho la energia,cancelar
esta llegando alterado el recibo,ejecutar
variacion de voltaje,cancelar
se esta registrando exceso de consumo de energia por lo que solicito la revision,cancelar
cayo un arbol de guayaba,ejecutar
chiapas en la lampara,ejecutar
una reconexion,cancelar
energia baja,ejecutar
internet intermitente,cancelar
altroconsumo,cancelar
empty,ejecutar
cable reventado,cancelar
energia baja,ejecutar
llevamos sin energia desde las 9 am,cancelar
un carro hizo caer varios cable de alta tension de un poste en la calle,ejecutar
corte intermitente y sin energia,ejecutar
incendio de medidor de casa,cancelar
el dano es de la luz publica en la via principal sobre la carrera 28,ejecutar
desde hace varios dias la iluminacion de las canchas de baloncesto se dano y esta muy oscuro permitiendo que lleguen jovenes a consumir vicio,ejecutar
hay tomas con energia y otros sin energia,ejecutar
hacia el 40 hacia la montana de brisas del jordan se fue la luz y esta la antena de internet que proporciona el servicio al sector,cancelar
en el transcurso del dia se ha visto una variacion en el voltaje que a afectado varios electrodomesticos y los ha danado,ejecutar
bajas de energia,ejecutar
no hay internet,cancelar
muchas casas sin energia,ejecutar
cuerda reventada,ejecutar
no hay energia en la casa,cancelar
sin servicio,cancelar
muy bajo voltaje no arranca  la nevera,ejecutar
al conectar algun articulo de los tomas de corriente se apagan los bombillos y se baja la energia,ejecutar
falla de energia,ejecutar
algunos tomas funcionan otros no segundo piso sin energia,ejecutar
se revento el cable de alta tension y esta en el suelo,ejecutar
buenas noches,ejecutar
alteracion de la lectura de mi predio,ejecutar
sector sin servicio,cancelar
problema en bornera en poste,cancelar
luminarias sin alimentacion de energia 220,ejecutar
hubo un apagon en el sector y mi casa sigue sin luz pero las demas casas ya tienen luz,ejecutar
los bombillos estan titilando intermitente,ejecutar
en la noche el poste no prende,ejecutar
71615227,"Entrada inválida. Por favor, ingrese un texto coherente."
un camion revento el cable del internet celsia,cancelar
no hay energia en los tomas y se encienden y apagan las bombillos,ejecutar
la acometida que lleva la energia hacia mi casa una rama de un arbol cayo y la descolgo,cancelar
no dentro fluido electrico a 220 solo esta a 110,cancelar
desde la manana habemos 7 locales comerciales sin servicio y nosotros manejamos biologicos vacunas y necesitamos nevera,cancelar
chispas en poste,cancelar
no pues como le digo esa cuerda debe estar suelta por q no pasa energia,cancelar
se callo una palma y revento el cable de ambos lados,ejecutar
4 casas del sector se encuentran sin energia desde el dia viernes 18 de octubre,ejecutar
vandalizaron cables del medidor,cancelar
variacion voltaje,cancelar
no esta marcando el consumo en el contador,ejecutar
varios postes sin luz y muchos drogadictos aprovechan la oscuridad para fumar bajo los arboles,cancelar
de rompio el cable gris  q conecta al modem,ejecutar
bornes de transformador quemados,cancelar
aumento de precio en el recibo,ejecutar
tenemos caida por lo menos una fase del servicio 220 trifasico que tenemos,ejecutar
muestra que tengo consumo de energia en una casa que esta desocupada,ejecutar
toda la cuadra de la manzana 32 frente a la 30  esta sin energia  via principal,ejecutar
sin energia,cancelar
el domingo se quemaron los cables del poste de alumbrado publico,cancelar
consumo altisimo,ejecutar
desde antier estos cables estan echando chispas y bajando la energia,ejecutar
muy bajo el voltaje 206 vol,ejecutar
al contador se le han hecho tres revisiones,ejecutar
altroconsumo,cancelar
variacion de voltaje que no alimenta completamente los electrodomesticos,cancelar
predio sin servicio,cancelar
casa sin energia,cancelar
falla de energia,ejecutar
bajas de energia,ejecutar
se bajan las luces,ejecutar
la luz se sube y se baja cada nada tenemos los ventiladores prendido y empieza a bajar la velocidad u a subir y asi estamos del sabdo,ejecutar
edificio sin energia,cancelar
desprendimiento cable del poste por borrasca,ejecutar
sin servicio,cancelar
dano del medidor,cancelar
se va y vuelve rapido,ejecutar
esta safada una cuerda de las q va de las cuerdas al contador,cancelar
bombilla del poste esta apagada,ejecutar
el cable lo cortaron ,ejecutar
tuve visita de dos funcionarios de celsia los cuales dijeron que habia una queja por alto consumo y que ivan a cambiar el contador hable con el lector y me dice que el no ha reportado nada,ejecutar
requiero dar de baja a 3 contadores y revision de la acometida o la caja donde se encuentran los cables,cancelar
yo estuve en celsia jamundi hice el reclamo presente los recibos quedaron de mandar una cuadrilla para revisar y no han ido,cancelar
el contador de la casa esta danado,ejecutar
variacion de voltaje,cancelar
un contador se quemo,ejecutar
varias casas sin energia,cancelar
no hay luz,cancelar
mi contador esta reportando alto consumo,ejecutar
la energia se corta por momentos,ejecutar
no hay servicio electrico en la vivienda cuerda caida,ejecutar
cables  colgantes,ejecutar
consumos  muy altos,cancelar
intermitente toda la casa ,cancelar
no me encienden los bombillos,ejecutar
no hay internet,cancelar
al respaldo,cancelar
luz intermitente,cancelar
